zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
10,3,3,trefoil_x,10.0,7.870788348455181,-2.1292116515448187,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
11,4,0,spherical,0.0,0.22181718194934325,0.22181718194934325,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
12,4,-2,secondary_astig_45,9.0,5.80965692253878,-3.19034307746122,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
14,4,-4,quadrafoil_45,0.0,0.0803240477009931,0.0803240477009931,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
15,4,4,quadrafoil_0,5.0,3.015322318712566,-1.984677681287434,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
16,5,-1,secondary_coma_y,0.0,-0.2076991751969392,-0.2076991751969392,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
17,5,1,secondary_coma_x,7.0,4.9722347610441595,-2.0277652389558405,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
18,5,-3,secondary_trefoil_y,0.0,0.1913604754238164,0.1913604754238164,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
19,5,3,secondary_trefoil_x,4.0,2.7078948564469707,-1.2921051435530293,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
21,5,5,pentafoil_x,5.0,2.7266498840384146,-2.2733501159615854,sample_08_j03+j05+j07+j08+j10+j12+j15+j17+j19+j21
2,1,1,tilt_x,0.0,0.5976793034257784,0.5976793034257784,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
3,1,-1,tilt_y,8.0,6.981614490446889,-1.0183855095531111,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
4,2,0,defocus,0.0,0.1454408303485128,0.1454408303485128,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
5,2,-2,astig_45,4.0,2.1778678373624265,-1.8221321626375735,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
6,2,2,astig_0,0.0,0.0,0.0,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
7,3,-1,coma_y,6.0,3.4683141244633426,-2.5316858755366574,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
8,3,1,coma_x,12.0,9.28226225728038,-2.7177377427196205,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
9,3,-3,trefoil_y,0.0,0.2373347190330781,0.2373347190330781,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
10,3,3,trefoil_x,10.0,7.544847308384806,-2.4551526916151936,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
11,4,0,spherical,0.0,0.02246033113696186,0.02246033113696186,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
12,4,-2,secondary_astig_45,9.0,5.421371019540457,-3.578628980459543,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
13,4,2,secondary_astig_0,5.0,3.3650467245369606,-1.6349532754630394,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
15,4,4,quadrafoil_0,5.0,3.419736674572351,-1.5802633254276488,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
16,5,-1,secondary_coma_y,0.0,-0.7742575505261344,-0.7742575505261344,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
17,5,1,secondary_coma_x,7.0,4.381940048299236,-2.618059951700764,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
18,5,-3,secondary_trefoil_y,0.0,-0.018459363029671577,-0.018459363029671577,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
19,5,3,secondary_trefoil_x,4.0,2.707149848651546,-1.2928501513484538,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
21,5,5,pentafoil_x,5.0,3.468994618291168,-1.531005381708832,sample_09_j03+j05+j07+j08+j10+j12+j13+j15+j17+j19+j21
